Original,Generated Slang,Lemma,Annotator 1,Annotator 2,Letter 1,Similarity 1 (1 to 5 Likert),Letter 2,Similarity 2 (1 to 5 Likert),Tiebreak,Tiebreak Sim,,,,
terrorist,â€œ,â€œ,Andrew,Nigel,,,Z,1,,,,,,
terrorist,isis,isis,Andrew,Nigel,,,E,5,,,,,,
terrorist,jihadist,jihadist,Andrew,Nigel,,,E,5,,,,,,
terrorist,suspect,suspect,Andrew,Nigel,,,Z,1,,,,,,
upskirt,antiwhite,antiwhite,Andrew,Nigel,,,Z,1,,,,,,
upskirt,deepstate,deepstate,Andrew,Nigel,,,Z,1,,,,,,
upskirt,pepperseason,pepperseason,Andrew,Nigel,,,Z,1,,,,,,
upskirt,outspeak,outspeak,Andrew,Nigel,,,Z,1,,,,,,
upskirt,cropcircles,cropcircles,Andrew,Nigel,,,Z,1,,,,,,
genital,mutilation,mutilation,Andrew,Nigel,,,V,3,,,,,,
genital,female,female,Andrew,Nigel,,,Z,1,,,,,,
genital,male,male,Andrew,Nigel,,,Z,1,,,,,,
genital,indecent,indecent,Andrew,Nigel,,,A,2,,,,,,
genital,infant,infant,Andrew,Nigel,,,Z,1,,,,,,
genital,mutila,mutila,Andrew,Nigel,,,A,1,,,,,,
genital,vagina,vagina,Andrew,Nigel,,,A,5,,,,,,
marijuana,weed,weed,Andrew,Nigel,,,I,5,,,,,,
marijuana,cannabis,cannabis,Andrew,Nigel,,,I,5,,,,,,
marijuana,sugar,sugar,Andrew,Nigel,,,Z,3,,,,,,
marijuana,liberal,liberal,Andrew,Nigel,,,Z,1,,,,,,
marijuana,chicken,chicken,Andrew,Nigel,,,Z,1,,,,,,
marijuana,mug,mug,Andrew,Nigel,,,Z,1,,,,,,
marijuana,threads,thread,Andrew,Nigel,,,Z,1,,,,,,
marijuana,cocaine,cocaine,Andrew,Nigel,,,I,3,,,,,,
tit,tart,tart,Andrew,Nigel,,,Z,1,,,,,,
tit,larping,larping,Andrew,Nigel,,,Z,1,,,,,,
tit,niglet,niglet,Andrew,Nigel,,,H,3,,,,,,
tit,twit,twit,Andrew,Nigel,,,B,3,,,,,,
tit,swastika,swastika,Andrew,Nigel,,,E,1,,,,,,
tit,tat,tat,Andrew,Nigel,,,Z,4,,,,,,
tit,fagot,fagot,Andrew,Nigel,,,H,2,,,,,,
retarded,retards,retard,Andrew,Nigel,,,H,5,,,,,,
retarded,degenerate,degenerate,Andrew,Nigel,,,Z,4,,,,,,
retarded,senile,senile,Andrew,Nigel,,,Z,4,,,,,,
retarded,too,too,Andrew,Nigel,,,Z,1,,,,,,
retarded,destitute,destitute,Andrew,Nigel,,,Z,3,,,,,,
retarded,crippled,cripple,Andrew,Nigel,,,H,3,,,,,,
retarded,firmed,firm,Andrew,Nigel,,,Z,1,,,,,,
retarded,deranged,derange,Andrew,Nigel,,,Z,4,,,,,,
retarded,doves,doves,Andrew,Nigel,,,Z,1,,,,,,
retarded,gnat,gnat,Andrew,Nigel,,,Z,1,,,,,,
kunt,geen,geen,Andrew,Nigel,,,Z,1,,,,,,
kunt,zien,zien,Andrew,Nigel,,,Z,1,,,,,,
kunt,kunnen,kunnen,Andrew,Nigel,,,Z,1,,,,,,
kunt,hierbij,hierbij,Andrew,Nigel,,,Z,1,,,,,,
kunt,aangemerkt,aangemerkt,Andrew,Nigel,,,Z,1,,,,,,
orgy,pedophiles,pedophiles,Andrew,Nigel,,,M,3,,,,,,
orgy,orgs,orgs,Andrew,Nigel,,,Z,1,,,,,,
orgy,group,group,Andrew,Nigel,,,Z,1,,,,,,
orgy,dementedness,dementedness,Andrew,Nigel,,,Z,1,,,,,,
orgy,bloodbath,bloodbath,Andrew,Nigel,,,V,1,,,,,,
orgy,rapefugees,rapefugees,Andrew,Nigel,,,H,2,,,,,,
orgy,outcry,outcry,Andrew,Nigel,,,Z,1,,,,,,
orgy,of,of,Andrew,Nigel,,,Z,1,,,,,,
orgy,pit,pit,Andrew,Nigel,,,Z,1,,,,,,
intercourse,activity,activity,Andrew,Nigel,,,Z,2,,,,,,
nigger,nigga,nigga,Andrew,Nigel,,,H,5,,,,,,
nigger,white,white,Andrew,Nigel,,,Z,2,,,,,,
nigger,black,black,Andrew,Nigel,,,Z,4,,,,,,
nigger,niggas,niggas,Andrew,Nigel,,,H,5,,,,,,
nigger,scum,scum,Andrew,Nigel,,,B,1,,,,,,
nigger,tranny,tranny,Andrew,Nigel,,,H,1,,,,,,
nigger,stupid,stupid,Andrew,Nigel,,,Z,1,,,,,,
nigger,monkey,monkey,Andrew,Nigel,,,Z,1,,,,,,
nigger,fat,fat,Andrew,Nigel,,,Z,1,,,,,,
nigger,vermin,vermin,Andrew,Nigel,,,Z,1,,,,,,
wanker,scumbag,scumbag,Andrew,Nigel,,,B,3,,,,,,
wanker,faggot,faggot,Andrew,Nigel,,,H,3,,,,,,
wanker,shitbird,shitbird,Cuong,Andrew,B,4,,,,,,,,
wanker,dirtbags,dirtbags,Cuong,Andrew,B,4,,,,,,,,
wanker,shitheel,shitheel,Cuong,Andrew,B,4,,,,,,,,
wanker,cheeky,cheeky,Cuong,Andrew,Z,2,,,,,,,,
cocks,dicks,dicks,Cuong,Andrew,A,5,,,,,,,,
cocks,penises,penises,Cuong,Andrew,A,5,,,,,,,,
cocks,dongs,dong,Cuong,Andrew,A,5,,,,,,,,
homicide,crime,crime,Cuong,Andrew,Z,3,,,,,,,,
homicide,police,police,Cuong,Andrew,Z,2,,,,,,,,
homicide,genocide,genocide,Cuong,Andrew,E,3,,,,,,,,
homicide,holocauste,holocauste,Cuong,Andrew,E,3,,,,,,,,
homicide,crimes,crimes,Cuong,Andrew,Z,2,,,,,,,,
homicide,detective,detective,Cuong,Andrew,Z,2,,,,,,,,
homicide,cop,cop,Cuong,Andrew,Z,2,,,,,,,,
homicide,negligent,negligent,Cuong,Andrew,Z,2,,,,,,,,
homicide,rate,rate,Cuong,Andrew,Z,1,,,,,,,,
titties,nigglets,nigglets,Cuong,Andrew,H,1,,,,,,,,
titties,pussies,pussies,Cuong,Andrew,A,2,,,,,,,,
titties,tiddly,tiddly,Cuong,Andrew,A,4,,,,,,,,
titties,pooches,pooch,Cuong,Andrew,A,2,,,,,,,,
titties,butts,butt,Cuong,Andrew,Z,2,,,,,,,,
titties,gifs,gifs,Cuong,Andrew,Z,1,,,,,,,,
titties,petticoat,petticoat,Cuong,Andrew,Z,1,,,,,,,,
titties,tutsoons,tutsoons,Cuong,Andrew,H,1,,,,,,,,
titties,twittler,twittler,Cuong,Andrew,Z,1,,,,,,,,
twat,twitts,twitts,Cuong,Andrew,B,3,,,,,,,,
twat,hypocrite,hypocrite,Cuong,Andrew,Z,2,,,,,,,,
twat,cunt,cunt,Cuong,Andrew,B,4,,,,,,,,
twat,cuck,cuck,Cuong,Andrew,B,4,,,,,,,,
twat,fucktard,fucktard,Cuong,Andrew,B,4,,,,,,,,
twat,slut,slut,Cuong,Andrew,B,3,,,,,,,,
twat,gab,gab,Cuong,Andrew,Z,2,,,,,,,,
fag,fam,fam,Cuong,Andrew,Z,1,,,,,,,,
fag,skank,skank,Cuong,Andrew,H,3,,,,,,,,
fag,fad,fad,Cuong,Andrew,Z,1,,,,,,,,
fag,hag,hag,Cuong,Andrew,Z,1,,,,,,,,
fag,lib,lib,Cuong,Andrew,Z,3,,,,,,,,
fag,fav,fav,Cuong,Andrew,Z,1,,,,,,,,
fag,sleazebag,sleazebag,Cuong,Andrew,Z,3,,,,,,,,
gangbanger,dealing,deal,Cuong,Andrew,Z,1,,,,,,,,
gangbanger,-,-,Cuong,Andrew,Z,1,,,,,,,,
gangbanger,gangsters,gangsters,Cuong,Andrew,I,4,,,,,,,,
gangbanger,vigilante,vigilante,Cuong,Andrew,Z,1,,,,,,,,
porno,pornstar,pornstar,Cuong,Andrew,Z,3,,,,,,,,
porno,pornstars,pornstars,Cuong,Andrew,Z,3,,,,,,,,
porno,movie,movie,Cuong,Andrew,Z,2,,,,,,,,
porno,pornboto,pornboto,Cuong,Andrew,A,2,,,,,,,,
porno,erotic,erotic,Cuong,Andrew,A,3,,,,,,,,
porno,interracial,interracial,Cuong,Andrew,Z,2,,,,,,,,
porno,pornbot,pornbot,Cuong,Andrew,A,3,,,,,,,,
pussy,feminist,feminist,Cuong,Andrew,Z,1,,,,,,,,
pussy,dick,dick,Cuong,Andrew,Z,2,,,,,,,,
pussy,pink,pink,Cuong,Andrew,Z,3,,,,,,,,
pussy,porn,porn,Cuong,Andrew,Z,2,,,,,,,,
pussy,rapefugee,rapefugee,Cuong,Andrew,H,1,,,,,,,,
sodomy,sodomite,sodomite,Cuong,Andrew,A,4,,,,,,,,
sodomy,sodomites,sodomites,Cuong,Andrew,A,4,,,,,,,,
sodomy,sodomize,sodomize,Cuong,Andrew,A,4,,,,,,,,
sodomy,perversion,perversion,Cuong,Andrew,Z,3,,,,,,,,
sodomy,lewdness,lewdness,Cuong,Andrew,Z,3,,,,,,,,
sodomy,cannibalism,cannibalism,Cuong,Andrew,V,1,,,,,,,,
cumshot,mikumonday,mikumonday,Cuong,Andrew,Z,1,,,,,,,,
cumshot,kancolle,kancolle,Cuong,Andrew,Z,1,,,,,,,,
cumshot,dunbine,dunbine,Cuong,Andrew,Z,1,,,,,,,,
cumshot,tsunday,tsunday,Cuong,Andrew,Z,1,,,,,,,,
cock,poppy,poppy,Cuong,Andrew,Z,1,,,,,,,,
cock,pig,pig,Cuong,Andrew,Z,1,,,,,,,,
cock,pork,pork,Cuong,Andrew,Z,1,,,,,,,,
cock,suck,suck,Cuong,Andrew,Z,3,,,,,,,,
cock,bent,bend,Cuong,Andrew,Z,3,,,,,,,,
jihad,terrorists,terrorists,Cuong,Andrew,E,3,,,,,,,,
jihad,islamist,islamist,Cuong,Andrew,E,3,,,,,,,,
jihad,islam,islam,Cuong,Andrew,Z,2,,,,,,,,
jihad,terrorist,terrorist,Cuong,Andrew,E,3,,,,,,,,
jihad,muslim,muslim,Cuong,Andrew,Z,2,,,,,,,,
jihad,caliphate,caliphate,Cuong,Andrew,E,4,,,,,,,,
jihad,islamic,islamic,Cuong,Andrew,Z,3,,,,,,,,
bondage,hypergamy,hypergamy,Cuong,Andrew,Z,1,,,,,,,,
bondage,incestuous,incestuous,Cuong,Andrew,A,1,,,,,,,,
escort,blockade,blockade,Cuong,Andrew,Z,1,,,,,,,,
escort,service,service,Cuong,Andrew,Z,4,,,,,,,,
escort,hookers,hookers,Cuong,Andrew,I,3,,,,,,,,
escort,driver,driver,Cuong,Andrew,Z,2,,,,,,,,
escort,patrol,patrol,Cuong,Andrew,Z,2,,,,,,,,
escort,their,their,Cuong,Andrew,Z,1,,,,,,,,
shite,libtards,libtards,Cuong,Andrew,B,2,,,,,,,,
shite,shitlib,shitlib,Cuong,Andrew, B,3,,,,,,,,
shite,fucken,fucken,Cuong,Andrew,Z,3,,,,,,,,
shite,punked,punked,Cuong,Andrew,Z,1,,,,,,,,
shite,shitstirrer,shitstirrer,Cuong,Andrew,B,4,,,,,,,,
shite,shitbirds,shitbirds,Cuong,Andrew,B,4,,,,,,,,
shite,shitpost,shitpost,Cuong,Andrew,Z,2,,,,,,,,
shite,bullshit,bullshit,Cuong,Andrew,Z,3,,,,,,,,
foreskin,armpits,armpits,Cuong,Andrew,Z,1,,,,,,,,
foreskin,dirtskins,dirtskins,Cuong,Andrew,H,3,,,,,,,,
foreskin,floppy,floppy,Cuong,Andrew,A,3,,,,,,,,
foreskin,shitskins,shitskins,Cuong,Andrew,H,2,,,,,,,,
foreskin,sew,sew,Cuong,Andrew,Z,1,,,,,,,,
foreskin,nunnies,nunnies,Cuong,Andrew,Z,1,,,,,,,,
foreskin,masks,mask,Cuong,Andrew,Z,1,,,,,,,,
titty,twatter,twatter,Cuong,Andrew,Z,1,,,,,,,,
titty,phony,phony,Cuong,Andrew,Z,1,,,,,,,,
titty,larper,larper,Cuong,Andrew,Z,1,,,,,,,,
titty,libtard,libtard,Cuong,Andrew,B,1,,,,,,,,
titty,twittr,twittr,Cuong,Andrew,Z,1,,,,,,,,
titty,nibba,nibba,Cuong,Andrew,H,1,,,,,,,,
dildo,pedo,pedo,Cuong,Andrew,M,1,,,,,,,,
dildo,vibrator,vibrator,Cuong,Andrew,Z,3,,,,,,,,
dildo,lolol,lolol,Cuong,Andrew,Z,1,,,,,,,,
dildo,bermidoodle,bermidoodle,Cuong,Andrew,Z,1,,,,,,,,
dildo,cuckadoodledo,cuckadoodledo,Cuong,Andrew,Z,1,,,,,,,,
dildo,nudist,nudist,Cuong,Andrew,Z,1,,,,,,,,
dildo,paedophile,paedophile,Cuong,Andrew,M,1,,,,,,,,
dildo,cocksucker,cocksucker,Cuong,Andrew,B,2,,,,,,,,
dildo,peniscorn,peniscorn,Cuong,Andrew,A,3,,,,,,,,
anus,vulva,vulva,Cuong,Andrew,A,2,,,,,,,,
anus,mangina,mangina,Cuong,Andrew,B,2,,,,,,,,
anus,acv,acv,Cuong,Andrew,Z,2,,,,,,,,
anus,orifices,orifices,Cuong,Andrew,Z,3,,,,,,,,
anus,brachial,brachial,Cuong,Andrew,Z,1,,,,,,,,
anus,winninitus,winninitus,Cuong,Andrew,Z,1,,,,,,,,
anus,suceed,suceed,Cuong,Andrew,Z,1,,,,,,,,
fucktard,fuckwit,fuckwit,Cuong,Andrew,B,3,,,,,,,,
fucktard,shill,shill,Cuong,Andrew,B,2,,,,,,,,
fucktard,shitbag,shitbag,Cuong,Andrew,B,3,,,,,,,,
fucktard,shithead,shithead,Cuong,Andrew,B,3,,,,,,,,
fucktard,nutflix,nutflix,Cuong,Andrew,A,1,,,,,,,,
fucktard,dumbfuck,dumbfuck,Cuong,Andrew,B,4,,,,,,,,
fucktard,regressive,regressive,Cuong,Andrew,Z,1,,,,,,,,
fucktard,shitbart,shitbart,Cuong,Andrew,B,3,,,,,,,,
fucktard,shitter,shitter,Cuong,Andrew,B,3,,,,,,,,
gangbang,stomp,stomp,Cuong,Andrew,Z,1,,,,,,,,
gangbang,strangling,strangle,Cuong,Andrew,V,1,,,,,,,,
gangbang,whack,whack,Cuong,Andrew,Z,1,,,,,,,,
vagina,manginas,manginas,Cuong,Andrew,B,3,,,,,,,,
vagina,panty,panty,Cuong,Andrew,Z,3,,,,,,,,
vagina,promiscuity,promiscuity,Cuong,Andrew,Z,2,,,,,,,,
fucktards,fuckers,fuckers,Cuong,Andrew,B,4,,,,,,,,
fucktards,goatfuckers,goatfuckers,Cuong,Andrew,B,3,,,,,,,,
fucktards,fuckwits,fuckwits,Cuong,Andrew,B,4,,,,,,,,
fucktards,jackasses,jackasses,Cuong,Andrew,B,1,,,,,,,,
fucktards,demigods,demigods,Cuong,Andrew,Z,1,,,,,,,,
sexo,feminismo,feminismo,Cuong,Andrew,Z,1,,,,,,,,
sexo,concordo,concordo,Cuong,Andrew,Z,1,,,,,,,,
sexo,animais,animais,Cuong,Andrew,Z,1,,,,,,,,
sexo,medo,medo,Cuong,Andrew,Z,1,,,,,,,,
sexo,fez,fez,Cuong,Andrew,Z,1,,,,,,,,
sexo,lixo,lixo,Cuong,Andrew,Z,1,,,,,,,,
sexo,foi,foi,Cuong,Andrew,Z,1,,,,,,,,
sexo,racismo,racismo,Cuong,Andrew,Z,1,,,,,,,,
sexo,erotismo,erotismo,Cuong,Andrew,Z,3,,,,,,,,
sexo,pacifico,pacifico,Cuong,Andrew,Z,1,,,,,,,,
orgasm,sexually,sexually,Cuong,Andrew,Z,2,,,,,,,,
boobs,boobies,boobies,Cuong,Andrew,A,5,,,,,,,,
boobs,tits,tits,Cuong,Andrew,A,4,,,,,,,,
boobs,boogers,boogers,Cuong,Andrew,Z,3,,,,,,,,
boobs,unhealthy,unhealthy,Cuong,Andrew,Z,1,,,,,,,,
fingering,shitposting,shitposting,Cuong,Andrew,z,1,,,,,,,,
fingering,mouthing,mouth,Cuong,Andrew,Z,1,,,,,,,,
fingering,putting,put,Cuong,Andrew,Z,2,,,,,,,,
fingering,reposting,reposting,Cuong,Andrew,Z,1,,,,,,,,
fingering,wetting,wet,Cuong,Andrew,Z,3,,,,,,,,
fingering,girlplay,girlplay,Cuong,Andrew,A,3,,,,,,,,
fingering,lesbians,lesbians,Cuong,Andrew,Z,3,,,,,,,,
fingering,womensfashion,womensfashion,Cuong,Andrew,Z,1,,,,,,,,
fingering,another,another,Cuong,Andrew,Z,1,,,,,,,,
scum,filth,filth,Cuong,Andrew,B,4,,,,,,,,
scum,schmuck,schmuck,Cuong,Andrew,B,4,,,,,,,,
scum,morons,morons,Cuong,Andrew,B,3,,,,,,,,
scum,fucker,fucker,Cuong,Andrew, B,3,,,,,,,,
scum,perverts,pervert,Cuong,Andrew,B,3,,,,,,,,
scum,dope,dope,Cuong,Andrew,Z,1,,,,,,,,
paedophile,pedophile,pedophile,Cuong,Andrew,M,4,,,,,,,,
paedophile,paedophilia,paedophilia,Cuong,Andrew,M,4,,,,,,,,
sperm,egg,egg,Cuong,Andrew,Z,2,,,,,,,,
sperm,birth,birth,Cuong,Andrew,Z,2,,,,,,,,
sperm,groom,groom,Cuong,Andrew,Z,2,,,,,,,,
sperm,wombs,wombs,Cuong,Andrew,Z,2,,,,,,,,
sperm,fertile,fertile,Cuong,Andrew,Z,3,,,,,,,,
sperm,fetuses,fetuses,Cuong,Andrew,Z,2,,,,,,,,
testicle,genitalia,genitalia,Cuong,Andrew,Z,3,,,,,,,,
testicle,scrotal,scrotal,Cuong,Andrew,Z,4,,,,,,,,
testicle,skin,skin,Cuong,Andrew,Z,3,,,,,,,,
testicle,plug,plug,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
testicle,pubic,pubic,Nigel,Cuong,A,3,Z,2,,2.5,,,,
testicle,intestinal,intestinal,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
pedophile,pedophilia,pedophilia,Nigel,Cuong,M,5,Z,4,,4.5,,,,
pedophile,pediphiles,pediphiles,Nigel,Cuong,M,5,M,5,M,5,,,,
pedophile,pedowood,pedowood,Nigel,Cuong,M,4,H,3,,3.5,,,,
pedophile,pedofile,pedofile,Nigel,Cuong,M,4,M,5,M,4.5,,,,
pedophile,pedopope,pedopope,Nigel,Cuong,M,4,H,3,,3.5,,,,
pedophile,moslem,moslem,Nigel,Cuong,H,1,Z,1,,1,,,,
negroes,negros,negros,Nigel,Cuong,H,5,H,5,H,5,,,,
negroes,racists,racists,Nigel,Cuong,Z,3,Z,2,Z,2.5,,,,
negroes,hispanics,hispanics,Nigel,Cuong,Z,3,Z,1,Z,,,,,
swastika,sticker,sticker,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
swastika,ticker,ticker,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
swastika,crucifix,crucifix,Nigel,Cuong,Z,1,Z,3,Z,,,,,
swastika,crucifixtion,crucifixtion,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
swastika,crucifixion,crucifixion,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
swastika,crayon,crayon,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
swastika,bootlicker,bootlicker,Nigel,Cuong,Z,1,Z,2,Z,1.5,,,,
swastika,sickle,sickle,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
jizz,on,on,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
jizz,unspeech,unspeech,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
